T30,Gross domestic expenditure on research and development (R&D),,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
51,Armenia,2010,Gross domestic expenditure on R & D: Not distributed (%),3.8,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
51,Armenia,2016,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.2,Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
51,Armenia,2016,Gross domestic expenditure on R & D: Government (%),72.9,Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
51,Armenia,2016,Gross domestic expenditure on R & D: Funds from abroad (%),1.8,Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
51,Armenia,2016,Gross domestic expenditure on R & D: Not distributed (%),25.2,Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
36,Australia,2004,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
36,Australia,2004,Gross domestic expenditure on R & D: Business enterprises (%),54.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
36,Australia,2004,Gross domestic expenditure on R & D: Government (%),40.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
36,Australia,2004,Gross domestic expenditure on R & D: Higher education (%),0.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
36,Australia,2004,Gross domestic expenditure on R & D: Private non-profit (%),1.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
36,Australia,2004,Gross domestic expenditure on R & D: Funds from abroad (%),2.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
36,Australia,2008,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
36,Australia,2008,Gross domestic expenditure on R & D: Business enterprises (%),61.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
36,Australia,2008,Gross domestic expenditure on R & D: Government (%),34.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
36,Australia,2008,Gross domestic expenditure on R & D: Higher education (%),0.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
36,Australia,2008,Gross domestic expenditure on R & D: Private non-profit (%),1.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
36,Australia,2008,Gross domestic expenditure on R & D: Funds from abroad (%),1.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
36,Australia,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.4,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
36,Australia,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.9,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
40,Austria,2004,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
40,Austria,2004,Gross domestic expenditure on R & D: Business enterprises (%),47.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
40,Austria,2004,Gross domestic expenditure on R & D: Government (%),32.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
40,Austria,2004,Gross domestic expenditure on R & D: Higher education (%),0.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
