T30,Gross domestic expenditure on research and development (R&D),,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
208,Denmark,2005,Gross domestic expenditure on R & D: Private non-profit (%),2.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
208,Denmark,2005,Gross domestic expenditure on R & D: Funds from abroad (%),10.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
208,Denmark,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
208,Denmark,2010,Gross domestic expenditure on R & D: Business enterprises (%),61.1,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
208,Denmark,2010,Gross domestic expenditure on R & D: Government (%),28.2,Estimate.;Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
208,Denmark,2010,Gross domestic expenditure on R & D: Private non-profit (%),3.5,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
208,Denmark,2010,Gross domestic expenditure on R & D: Funds from abroad (%),7.2,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
208,Denmark,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),3,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
208,Denmark,2015,Gross domestic expenditure on R & D: Business enterprises (%),59.4,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
208,Denmark,2015,Gross domestic expenditure on R & D: Government (%),29.4,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
208,Denmark,2015,Gross domestic expenditure on R & D: Private non-profit (%),4.7,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
208,Denmark,2015,Gross domestic expenditure on R & D: Funds from abroad (%),6.6,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
208,Denmark,2016,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.9,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
218,Ecuador,2003,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
218,Ecuador,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
218,Ecuador,2010,Gross domestic expenditure on R & D: Business enterprises (%),1,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
218,Ecuador,2010,Gross domestic expenditure on R & D: Government (%),40.2,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
218,Ecuador,2010,Gross domestic expenditure on R & D: Higher education (%),9.6,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
218,Ecuador,2010,Gross domestic expenditure on R & D: Private non-profit (%),0.5,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
218,Ecuador,2010,Gross domestic expenditure on R & D: Funds from abroad (%),5.3,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
218,Ecuador,2010,Gross domestic expenditure on R & D: Not distributed (%),43.4,Including business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
218,Ecuador,2014,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
218,Ecuador,2014,Gross domestic expenditure on R & D: Business enterprises (%),0.1,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
218,Ecuador,2014,Gross domestic expenditure on R & D: Government (%),42.4,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
218,Ecuador,2014,Gross domestic expenditure on R & D: Higher education (%),12.6,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
218,Ecuador,2014,Gross domestic expenditure on R & D: Private non-profit (%),0.1,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
218,Ecuador,2014,Gross domestic expenditure on R & D: Funds from abroad (%),2.5,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
218,Ecuador,2014,Gross domestic expenditure on R & D: Not distributed (%),42.3,Including business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
818,Egypt,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.2,Partial data.;Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
818,Egypt,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.4,Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
818,Egypt,2016,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
818,Egypt,2016,Gross domestic expenditure on R & D: Business enterprises (%),5.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
818,Egypt,2016,Gross domestic expenditure on R & D: Government (%),93.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
818,Egypt,2016,Gross domestic expenditure on R & D: Higher education (%),0.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
818,Egypt,2016,Gross domestic expenditure on R & D: Private non-profit (%),0.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
818,Egypt,2016,Gross domestic expenditure on R & D: Funds from abroad (%),0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
222,El Salvador,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
222,El Salvador,2010,Gross domestic expenditure on R & D: Business enterprises (%),0.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
222,El Salvador,2010,Gross domestic expenditure on R & D: Government (%),70.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
222,El Salvador,2010,Gross domestic expenditure on R & D: Higher education (%),20.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
222,El Salvador,2010,Gross domestic expenditure on R & D: Private non-profit (%),0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
222,El Salvador,2010,Gross domestic expenditure on R & D: Funds from abroad (%),8.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
222,El Salvador,2010,Gross domestic expenditure on R & D: Not distributed (%),0.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
222,El Salvador,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.1,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
222,El Salvador,2015,Gross domestic expenditure on R & D: Business enterprises (%),41.9,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
222,El Salvador,2015,Gross domestic expenditure on R & D: Government (%),29,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
222,El Salvador,2015,Gross domestic expenditure on R & D: Higher education (%),21.2,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
222,El Salvador,2015,Gross domestic expenditure on R & D: Private non-profit (%),1.1,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
222,El Salvador,2015,Gross domestic expenditure on R & D: Funds from abroad (%),6.8,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
222,El Salvador,2015,Gross domestic expenditure on R & D: Not distributed (%),0,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
233,Estonia,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
233,Estonia,2005,Gross domestic expenditure on R & D: Business enterprises (%),38.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
233,Estonia,2005,Gross domestic expenditure on R & D: Government (%),43.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
233,Estonia,2005,Gross domestic expenditure on R & D: Higher education (%),0.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
233,Estonia,2005,Gross domestic expenditure on R & D: Private non-profit (%),0.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
233,Estonia,2005,Gross domestic expenditure on R & D: Funds from abroad (%),17.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
233,Estonia,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
233,Estonia,2010,Gross domestic expenditure on R & D: Business enterprises (%),43.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
233,Estonia,2010,Gross domestic expenditure on R & D: Government (%),44.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
233,Estonia,2010,Gross domestic expenditure on R & D: Higher education (%),0.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
233,Estonia,2010,Gross domestic expenditure on R & D: Private non-profit (%),0.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
233,Estonia,2010,Gross domestic expenditure on R & D: Funds from abroad (%),11.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
233,Estonia,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
233,Estonia,2015,Gross domestic expenditure on R & D: Business enterprises (%),41,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
233,Estonia,2015,Gross domestic expenditure on R & D: Government (%),46.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
233,Estonia,2015,Gross domestic expenditure on R & D: Higher education (%),0.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
233,Estonia,2015,Gross domestic expenditure on R & D: Private non-profit (%),0.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
233,Estonia,2015,Gross domestic expenditure on R & D: Funds from abroad (%),12.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
233,Estonia,2016,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
231,Ethiopia,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.2,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
231,Ethiopia,2005,Gross domestic expenditure on R & D: Government (%),69.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
231,Ethiopia,2005,Gross domestic expenditure on R & D: Private non-profit (%),0.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
231,Ethiopia,2005,Gross domestic expenditure on R & D: Funds from abroad (%),30.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
231,Ethiopia,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.2,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
231,Ethiopia,2010,Gross domestic expenditure on R & D: Business enterprises (%),10.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
231,Ethiopia,2010,Gross domestic expenditure on R & D: Government (%),56,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
231,Ethiopia,2010,Gross domestic expenditure on R & D: Higher education (%),1.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
231,Ethiopia,2010,Gross domestic expenditure on R & D: Private non-profit (%),0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
231,Ethiopia,2010,Gross domestic expenditure on R & D: Funds from abroad (%),30,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
231,Ethiopia,2010,Gross domestic expenditure on R & D: Not distributed (%),2.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
231,Ethiopia,2013,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
231,Ethiopia,2013,Gross domestic expenditure on R & D: Business enterprises (%),0.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
231,Ethiopia,2013,Gross domestic expenditure on R & D: Government (%),79.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
231,Ethiopia,2013,Gross domestic expenditure on R & D: Higher education (%),1.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
231,Ethiopia,2013,Gross domestic expenditure on R & D: Private non-profit (%),0.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
231,Ethiopia,2013,Gross domestic expenditure on R & D: Funds from abroad (%),2.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
231,Ethiopia,2013,Gross domestic expenditure on R & D: Not distributed (%),16,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
234,Faroe Islands,2003,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
234,Faroe Islands,2003,Gross domestic expenditure on R & D: Business enterprises (%),20.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
234,Faroe Islands,2003,Gross domestic expenditure on R & D: Private non-profit (%),0.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
234,Faroe Islands,2003,Gross domestic expenditure on R & D: Funds from abroad (%),18.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
234,Faroe Islands,2003,Gross domestic expenditure on R & D: Not distributed (%),60.6,Overestimated or based on overestimated data.;Including higher education.;Including Government.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
246,Finland,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),3.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
246,Finland,2005,Gross domestic expenditure on R & D: Business enterprises (%),66.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
246,Finland,2005,Gross domestic expenditure on R & D: Government (%),25.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
246,Finland,2005,Gross domestic expenditure on R & D: Higher education (%),0.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
246,Finland,2005,Gross domestic expenditure on R & D: Private non-profit (%),1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
246,Finland,2005,Gross domestic expenditure on R & D: Funds from abroad (%),6.3,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
246,Finland,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),3.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
246,Finland,2010,Gross domestic expenditure on R & D: Business enterprises (%),66.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
246,Finland,2010,Gross domestic expenditure on R & D: Government (%),25.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
246,Finland,2010,Gross domestic expenditure on R & D: Higher education (%),0.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
246,Finland,2010,Gross domestic expenditure on R & D: Private non-profit (%),1.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
246,Finland,2010,Gross domestic expenditure on R & D: Funds from abroad (%),6.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
246,Finland,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
246,Finland,2015,Gross domestic expenditure on R & D: Business enterprises (%),54.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
246,Finland,2015,Gross domestic expenditure on R & D: Government (%),28.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
246,Finland,2015,Gross domestic expenditure on R & D: Higher education (%),0.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
246,Finland,2015,Gross domestic expenditure on R & D: Private non-profit (%),1.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
246,Finland,2015,Gross domestic expenditure on R & D: Funds from abroad (%),14.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
246,Finland,2016,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
250,France,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
250,France,2005,Gross domestic expenditure on R & D: Business enterprises (%),51.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
250,France,2005,Gross domestic expenditure on R & D: Government (%),38.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
250,France,2005,Gross domestic expenditure on R & D: Higher education (%),1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
250,France,2005,Gross domestic expenditure on R & D: Private non-profit (%),0.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
250,France,2005,Gross domestic expenditure on R & D: Funds from abroad (%),7.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
250,France,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.2,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
250,France,2010,Gross domestic expenditure on R & D: Business enterprises (%),53.5,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
250,France,2010,Gross domestic expenditure on R & D: Government (%),37.1,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
250,France,2010,Gross domestic expenditure on R & D: Higher education (%),1,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
250,France,2010,Gross domestic expenditure on R & D: Private non-profit (%),0.8,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
250,France,2010,Gross domestic expenditure on R & D: Funds from abroad (%),7.5,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
250,France,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
250,France,2015,Gross domestic expenditure on R & D: Business enterprises (%),54,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
250,France,2015,Gross domestic expenditure on R & D: Government (%),34.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
250,France,2015,Gross domestic expenditure on R & D: Higher education (%),2.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
250,France,2015,Gross domestic expenditure on R & D: Private non-profit (%),0.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
