Country ID,Source Data,Country Name,Year,CPI
710,Food,South Africa,2018,168.04
800,General,Uganda,2017,167.91
498,Food,Republic of Moldova,2018,167.77
398,Food,Kazakhstan,2017,167.66
52,General,Barbados,2015,167.55
24,Food,Angola,2015,167.25
804,Food,Ukraine,2015,166.61
792,Food,Turkey,2016,166.39
834,General,United Rep. of Tanzania,2016,166.2
762,General,Tajikistan,2018,165.65
496,General,Mongolia,2016,165.55
426,Food,Lesotho,2017,165.55
586,General,Pakistan,2018,164.88
858,General,Uruguay,2016,164.57
496,Food,Mongolia,2017,164.27
496,General,Mongolia,2015,163.82
388,Food,Jamaica,2016,163.55
462,Food,Maldives,2017,163.32
332,Food,Haiti,2016,163.14
604,Food,Peru,2017,163.08
68,Food,Bolivia (Plurin. State of),2018,163.01
31,Food,Azerbaijan,2018,162.96
516,Food,Namibia,2017,162.94
64,General,Bhutan,2018,162.75
108,General,Burundi,2016,162.58
430,Food,Liberia,2015,162.51
678,General,Sao Tome and Principe,2016,162.35
643,General,Russian Federation,2016,162.2
710,Food,South Africa,2017,162.2
450,Food,Madagascar,2017,161.84
643,Food,Russian Federation,2015,161.69
320,Food,Guatemala,2016,161.6
496,Food,Mongolia,2015,161.43
76,General,Brazil,2018,161.37
566,Food,Nigeria,2015,161.32
704,General,Viet Nam,2018,161.31
270,General,Gambia,2018,161.26
450,General,Madagascar,2017,161.17
50,General,Bangladesh,2017,161.14
24,General,Angola,2015,161.05
800,Food,Uganda,2015,160.74
430,General,Liberia,2016,160.63
646,Food,Rwanda,2017,160.38
356,General,India,2017,160.13
31,Food,Azerbaijan,2017,159.77
404,General,Kenya,2016,159.65
762,General,Tajikistan,2017,159.54
498,Food,Republic of Moldova,2017,159.08
800,General,Uganda,2016,158.98
68,Food,Bolivia (Plurin. State of),2017,158.96
566,General,Nigeria,2015,158.94
858,Food,Uruguay,2015,158.84
498,General,Republic of Moldova,2018,158.68
64,General,Bhutan,2017,158.43
332,General,Haiti,2016,158.27
834,General,United Rep. of Tanzania,2015,158.02
496,Food,Mongolia,2016,157.94
108,Food,Burundi,2016,157.62
398,General,Kazakhstan,2016,157.56
792,General,Turkey,2016,157.42
792,Food,Turkey,2015,157.28
388,Food,Jamaica,2015,157.16
586,General,Pakistan,2017,156.91
818,General,Egypt,2015,156.8
388,General,Jamaica,2018,156.39
646,Food,Rwanda,2018,156.08
704,General,Viet Nam,2017,155.8
558,Food,Nicaragua,2018,155.8
76,General,Brazil,2017,155.67
748,General,Eswatini,2017,155.13
694,Food,Sierra Leone,2016,155.11
356,General,India,2016,154.98
426,Food,Lesotho,2016,154.82
288,Food,Ghana,2018,154.78
586,Food,Pakistan,2018,154.64
104,General,Myanmar,2018,154.54
398,Food,Kazakhstan,2016,154.45
76,Food,Brazil,2015,154.44
558,General,Nicaragua,2018,154.42
516,Food,Namibia,2016,154.37
762,Food,Tajikistan,2016,154.35
108,General,Burundi,2015,154.02
678,General,Sao Tome and Principe,2015,153.99
498,General,Republic of Moldova,2017,153.93
417,General,Kyrgyzstan,2018,153.93
462,Food,Maldives,2016,153.9
68,Food,Bolivia (Plurin. State of),2016,153.81
462,Food,Maldives,2015,153.01
31,General,Azerbaijan,2018,152.9
418,Food,Lao People's Dem. Rep.,2016,152.85
418,Food,Lao People's Dem. Rep.,2017,152.72
64,General,Bhutan,2016,152.55
50,General,Bangladesh,2016,152.44
710,General,South Africa,2018,152.39
516,General,Namibia,2018,152.3
710,Food,South Africa,2016,151.7
32,General,Argentina,2018,151.59
417,General,Kyrgyzstan,2017,151.59
643,General,Russian Federation,2015,151.54
270,General,Gambia,2017,151.38
484,Food,Mexico,2018,151.35
586,Food,Pakistan,2017,151.33
894,Food,Zambia,2015,151.16
388,General,Jamaica,2017,150.76
800,General,Uganda,2015,150.76
586,General,Pakistan,2016,150.75
704,General,Viet Nam,2016,150.5
76,General,Brazil,2016,150.4
404,General,Kenya,2015,150.19
858,General,Uruguay,2015,150.1
558,Food,Nicaragua,2017,149.54
31,General,Azerbaijan,2017,149.47
446,Food,"China, Macao SAR",2018,149.47
450,Food,Madagascar,2016,149.38
450,General,Madagascar,2016,148.84
762,General,Tajikistan,2016,148.71
694,General,Sierra Leone,2016,148.69
558,Food,Nicaragua,2016,148.67
12,General,Algeria,2018,148.46
426,General,Lesotho,2018,148.39
508,General,Mozambique,2016,148.29
32,Food,Argentina,2018,148.25
356,General,India,2015,147.67
430,General,Liberia,2015,147.59
12,Food,Algeria,2018,147.35
558,General,Nicaragua,2017,147.15
498,Food,Republic of Moldova,2016,147.1
108,Food,Burundi,2015,147.07
320,Food,Guatemala,2015,146.99
417,General,Kyrgyzstan,2016,146.93
762,Food,Tajikistan,2015,146.79
360,General,Indonesia,2018,146.73
418,Food,Lao People's Dem. Rep.,2015,146.57
646,Food,Rwanda,2016,146.52
586,Food,Pakistan,2016,146.51
558,Food,Nicaragua,2015,146.45
417,General,Kyrgyzstan,2015,146.36
600,Food,Paraguay,2018,146.29
64,General,Bhutan,2015,146.24
788,Food,Tunisia,2017,146.2
792,General,Turkey,2015,146.07
748,General,Eswatini,2016,146.04
516,General,Namibia,2017,145.91
104,Food,Myanmar,2017,145.89
68,Food,Bolivia (Plurin. State of),2015,145.78
704,General,Viet Nam,2015,145.77
710,General,South Africa,2017,145.7
72,General,Botswana,2018,145.68
68,General,Bolivia (Plurin. State of),2018,145.63
360,Food,Indonesia,2018,145.61
446,Food,"China, Macao SAR",2017,145.46
586,General,Pakistan,2015,145.28
4,General,Afghanistan,2017,144.77
104,General,Myanmar,2017,144.61
498,General,Republic of Moldova,2016,144.5
50,General,Bangladesh,2015,144.48
388,General,Jamaica,2016,144.42
484,Food,Mexico,2017,144.36
340,General,Honduras,2018,144.06
894,General,Zambia,2015,144.04
214,Food,Dominican Republic,2018,144.03
288,Food,Ghana,2017,143.55
446,Food,"China, Macao SAR",2016,143.25
586,Food,Pakistan,2015,143.0
626,General,Timor-Leste,2015,142.77
426,General,Lesotho,2017,142.67
12,Food,Algeria,2017,142.54
68,General,Bolivia (Plurin. State of),2017,142.4
12,General,Algeria,2017,142.38
332,Food,Haiti,2015,142.24
360,General,Indonesia,2017,142.18
740,Food,Suriname,2015,141.76
417,Food,Kyrgyzstan,2015,141.71
558,General,Nicaragua,2016,141.7
626,General,Timor-Leste,2017,141.64
688,General,Serbia,2018,141.38
388,General,Jamaica,2015,141.11
72,General,Botswana,2017,141.1
626,General,Timor-Leste,2016,140.86
600,Food,Paraguay,2017,140.81
450,Food,Madagascar,2015,140.4
780,General,Trinidad and Tobago,2017,140.32
762,General,Tajikistan,2015,140.24
446,General,"China, Macao SAR",2018,140.19
270,General,Gambia,2016,140.13
748,Food,Eswatini,2017,139.97
600,General,Paraguay,2018,139.96
360,Food,Indonesia,2017,139.9
104,Food,Myanmar,2016,139.75
688,Food,Serbia,2018,139.69
344,Food,"China, Hong Kong SAR",2018,139.66
450,General,Madagascar,2015,139.55
170,Food,Colombia,2018,139.48
516,Food,Namibia,2015,139.36
446,Food,"China, Macao SAR",2015,139.25
740,General,Suriname,2015,139.22
356,Food,India,2018,139.19
332,General,Haiti,2015,139.03
214,Food,Dominican Republic,2017,139.02
64,Food,Bhutan,2016,138.66
688,General,Serbia,2017,138.65
788,Food,Tunisia,2016,138.5
68,General,Bolivia (Plurin. State of),2016,138.5
788,General,Tunisia,2017,138.44
426,Food,Lesotho,2015,138.42
710,General,South Africa,2016,138.4
76,General,Brazil,2015,138.39
170,Food,Colombia,2017,138.34
104,General,Myanmar,2016,138.28
340,General,Honduras,2017,138.05
4,General,Afghanistan,2016,137.9
320,General,Guatemala,2018,137.82
694,Food,Sierra Leone,2015,137.79
398,General,Kazakhstan,2015,137.77
780,General,Trinidad and Tobago,2016,137.73
516,General,Namibia,2016,137.57
170,Food,Colombia,2016,137.39
360,Food,Indonesia,2016,137.28
710,Food,South Africa,2015,137.2
646,General,Rwanda,2018,137.2
688,Food,Serbia,2017,137.17
498,Food,Republic of Moldova,2015,137.07
360,General,Indonesia,2016,136.97
356,Food,India,2017,136.9
558,General,Nicaragua,2015,136.88
242,Food,Fiji,2018,136.88
398,Food,Kazakhstan,2015,136.76
72,General,Botswana,2016,136.62
484,General,Mexico,2018,136.58
462,General,Maldives,2017,136.44
598,General,Papua New Guinea,2016,136.34
31,Food,Azerbaijan,2016,136.23
170,General,Colombia,2018,136.15
446,General,"China, Macao SAR",2017,136.1
214,Food,Dominican Republic,2016,135.87
64,Food,Bhutan,2017,135.82
498,General,Republic of Moldova,2015,135.81
417,Food,Kyrgyzstan,2017,135.78
12,Food,Algeria,2016,135.73
426,General,Lesotho,2016,135.46
748,General,Eswatini,2015,135.42
646,General,Rwanda,2017,135.36
364,Food,Iran (Islamic Republic of),2018,135.32
484,Food,Mexico,2016,135.25
242,Food,Fiji,2016,135.18
344,Food,"China, Hong Kong SAR",2017,135.1
788,Food,Tunisia,2015,135.0
12,General,Algeria,2016,134.84
72,Food,Botswana,2017,134.8
600,General,Paraguay,2017,134.61
531,Food,Curaçao,2018,134.58
356,Food,India,2016,134.5
688,General,Serbia,2016,134.45
446,General,"China, Macao SAR",2016,134.45
508,Food,Mozambique,2015,134.35
72,Food,Botswana,2018,134.14
694,General,Sierra Leone,2015,134.1
480,Food,Mauritius,2018,133.96
180,General,Dem. Rep. of the Congo,2016,133.85
288,Food,Ghana,2016,133.82
268,Food,Georgia,2018,133.67
68,General,Bolivia (Plurin. State of),2015,133.65
780,General,Trinidad and Tobago,2015,133.63
674,Food,San Marino,2018,133.24
688,Food,Serbia,2015,133.2
600,Food,Paraguay,2016,133.09
214,General,Dominican Republic,2018,133.09
214,Food,Dominican Republic,2015,133.01
688,General,Serbia,2015,132.96
72,General,Botswana,2015,132.88
417,Food,Kyrgyzstan,2018,132.85
320,General,Guatemala,2017,132.84
340,General,Honduras,2016,132.83
688,Food,Serbia,2016,132.8
462,General,Maldives,2016,132.71
417,Food,Kyrgyzstan,2016,132.53
31,General,Azerbaijan,2016,132.39
360,General,Indonesia,2015,132.3
242,Food,Fiji,2017,132.26
344,Food,"China, Hong Kong SAR",2016,132.24
646,Food,Rwanda,2015,132.24
4,General,Afghanistan,2015,132.12
462,General,Maldives,2015,132.04
170,General,Colombia,2017,131.96
788,General,Tunisia,2016,131.44
446,General,"China, Macao SAR",2015,131.33
12,Food,Algeria,2015,131.27
642,Food,Romania,2015,131.03
458,Food,Malaysia,2018,130.93
344,General,"China, Hong Kong SAR",2018,130.84
268,Food,Georgia,2017,130.84
8,Food,Albania,2018,130.76
748,Food,Eswatini,2016,130.69
270,General,Gambia,2015,130.68
72,Food,Botswana,2016,130.34
484,General,Mexico,2017,130.2
710,General,South Africa,2015,130.1
180,General,Dem. Rep. of the Congo,2015,130.1
242,General,Fiji,2018,130.04
600,General,Paraguay,2016,129.93
484,Food,Mexico,2015,129.85
340,Food,Honduras,2017,129.82
480,General,Mauritius,2018,129.45
156,Food,China,2015,129.43
340,General,Honduras,2015,129.3
104,General,Myanmar,2015,129.28
458,Food,Malaysia,2017,129.15
646,General,Rwanda,2016,129.12
218,Food,Ecuador,2017,129.01
531,Food,Curaçao,2017,128.91
516,General,Namibia,2015,128.9
418,General,Lao People's Dem. Rep.,2017,128.87
233,Food,Estonia,2018,128.6
478,Food,Mauritania,2015,128.56
214,General,Dominican Republic,2017,128.51
218,Food,Ecuador,2016,128.37
360,Food,Indonesia,2015,128.01
104,Food,Myanmar,2015,127.94
51,Food,Armenia,2017,127.94
344,Food,"China, Hong Kong SAR",2015,127.9
418,General,Lao People's Dem. Rep.,2016,127.81
598,General,Papua New Guinea,2015,127.81
340,Food,Honduras,2016,127.8
344,General,"China, Hong Kong SAR",2017,127.78
356,Food,India,2015,127.7
690,General,Seychelles,2018,127.65
242,Food,Fiji,2015,127.54
268,General,Georgia,2018,127.42
8,Food,Albania,2017,127.34
51,General,Armenia,2018,127.34
320,General,Guatemala,2016,127.21
316,Food,Guam,2018,127.18
426,General,Lesotho,2015,127.08
51,Food,Armenia,2015,127.08
604,General,Peru,2018,127.07
414,Food,Kuwait,2016,127.07
144,Food,Sri Lanka,2017,127.04
72,Food,Botswana,2015,126.94
218,Food,Ecuador,2018,126.91
144,Food,Sri Lanka,2018,126.76
531,Food,Curaçao,2016,126.76
12,General,Algeria,2015,126.74
788,General,Tunisia,2015,126.73
674,Food,San Marino,2017,126.72
414,Food,Kuwait,2017,126.68
480,Food,Mauritius,2017,126.63
340,Food,Honduras,2015,126.58
90,General,Solomon Islands,2017,126.54
170,General,Colombia,2016,126.42
508,General,Mozambique,2015,126.29
188,General,Costa Rica,2018,126.2
90,General,Solomon Islands,2016,125.93
344,General,"China, Hong Kong SAR",2016,125.92
410,Food,Republic of Korea,2018,125.89
418,General,Lao People's Dem. Rep.,2015,125.8
600,Food,Paraguay,2015,125.75
180,Food,Dem. Rep. of the Congo,2016,125.7
348,Food,Hungary,2018,125.58
764,Food,Thailand,2018,125.46
604,General,Peru,2017,125.42
480,General,Mauritius,2017,125.4
364,General,Iran (Islamic Republic of),2018,125.33
352,General,Iceland,2018,125.29
90,General,Solomon Islands,2015,125.28
316,Food,Guam,2015,125.21
218,Food,Ecuador,2015,125.2
188,Food,Costa Rica,2018,125.19
144,General,Sri Lanka,2018,125.18
203,Food,Czechia,2018,125.07
152,Food,Chile,2018,125.07
764,Food,Thailand,2016,124.95
764,Food,Thailand,2017,124.95
242,General,Fiji,2017,124.9
531,Food,Curaçao,2015,124.84
600,General,Paraguay,2015,124.83
233,Food,Estonia,2017,124.77
51,General,Armenia,2015,124.77
414,Food,Kuwait,2015,124.69
400,General,Jordan,2018,124.66
116,General,Cambodia,2017,124.57
414,General,Kuwait,2017,124.56
214,General,Dominican Republic,2016,124.43
591,Food,Panama,2016,124.24
51,General,Armenia,2017,124.21
268,General,Georgia,2017,124.17
218,General,Ecuador,2017,124.09
458,Food,Malaysia,2016,123.98
218,General,Ecuador,2018,123.81
674,Food,San Marino,2016,123.74
682,Food,Saudi Arabia,2018,123.64
608,Food,Philippines,2018,123.6
218,General,Ecuador,2016,123.58
591,Food,Panama,2017,123.58
188,General,Costa Rica,2017,123.46
203,Food,Czechia,2017,123.44
478,General,Mauritania,2015,123.42
226,Food,Equatorial Guinea,2015,123.38
316,Food,Guam,2016,123.19
188,Food,Costa Rica,2017,123.18
288,Food,Ghana,2015,123.16
690,General,Seychelles,2017,123.1
51,General,Armenia,2016,123.01
344,General,"China, Hong Kong SAR",2015,123.0
764,Food,Thailand,2015,122.97
51,Food,Armenia,2016,122.9
484,General,Mexico,2016,122.78
591,Food,Panama,2015,122.63
144,General,Sri Lanka,2017,122.56
8,Food,Albania,2016,122.56
591,General,Panama,2018,122.5
268,Food,Georgia,2016,122.49
214,General,Dominican Republic,2015,122.45
562,Food,Niger,2015,122.37
410,Food,Republic of Korea,2017,122.28
646,General,Rwanda,2015,122.14
188,Food,Costa Rica,2015,122.13
480,Food,Mauritius,2016,122.07
180,Food,Dem. Rep. of the Congo,2015,122.01
604,General,Peru,2016,122.0
352,General,Iceland,2017,121.96
414,General,Kuwait,2016,121.91
562,Food,Niger,2017,121.8
320,General,Guatemala,2015,121.79
524,General,Nepal,2018,121.65
591,General,Panama,2017,121.58
64,Food,Bhutan,2015,121.51
188,General,Costa Rica,2015,121.51
188,General,Costa Rica,2016,121.49
218,General,Ecuador,2015,121.48
170,Food,Colombia,2015,121.47
316,Food,Guam,2017,121.38
152,Food,Chile,2017,121.36
422,Food,Lebanon,2017,121.34
674,Food,San Marino,2015,121.3
352,Food,Iceland,2018,121.27
352,Food,Iceland,2016,121.22
226,General,Equatorial Guinea,2017,121.19
188,Food,Costa Rica,2016,121.14
116,General,Cambodia,2016,121.07
784,Food,United Arab Emirates,2017,120.97
480,General,Mauritius,2016,120.95
690,General,Seychelles,2015,120.9
562,Food,Niger,2016,120.89
533,Food,Aruba,2018,120.88
242,General,Fiji,2016,120.85
480,Food,Mauritius,2015,120.77
458,General,Malaysia,2018,120.68
348,Food,Hungary,2017,120.56
591,General,Panama,2016,120.52
440,Food,Lithuania,2018,120.51
268,Food,Georgia,2015,120.5
226,General,Equatorial Guinea,2016,120.29
226,Food,Equatorial Guinea,2017,120.26
705,Food,Slovenia,2018,119.92
352,General,Iceland,2016,119.84
480,General,Mauritius,2015,119.76
40,Food,Austria,2018,119.7
266,General,Gabon,2018,119.68
352,Food,Iceland,2015,119.64
690,General,Seychelles,2016,119.64
591,General,Panama,2015,119.64
458,General,Malaysia,2017,119.62
31,Food,Azerbaijan,2015,119.58
48,Food,Bahrain,2018,119.57
784,Food,United Arab Emirates,2016,119.54
222,Food,El Salvador,2017,119.45
233,General,Estonia,2018,119.41
484,General,Mexico,2015,119.41
368,General,Iraq,2017,119.38
458,Food,Malaysia,2015,119.36
400,General,Jordan,2017,119.33
222,Food,El Salvador,2016,119.26
100,Food,Bulgaria,2018,119.24
642,General,Romania,2018,119.22
276,Food,Germany,2018,119.2
368,General,Iraq,2016,119.16
